Fecha instalación,Fecha de registro,ID del proyecto,Código del sistema,Comunidad,Municipio,Coordenadas,Tecnología,Fotos de SCALLs,Enlace Fotos en Google Drive,Número de beneficiarios / habitantes,Número de mujeres,Número de hombres,Número de niños,Número de niñas,Colaborador principal,Otro colaborador ,Financiador,Otro(s) financiador(es),Proyecto / Ministración ,Tipo de proyecto,Año (NO EDITEN),Mes (NO EDITEN
2024-02-14,,202311001,12-22-10-78,La Sauceda,San Diego De La Unión,,Filtro - Aguadapt,,,4,2,2,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Filtros cerámicos,2024,2
2024-02-14,,202311001,12-22-11-40,La Sauceda,San Diego De La Unión,,Filtro - Aguadapt,,,5,3,2,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Filtros cerámicos,2024,2
2024-02-14,,202311001,12-22-10-98,La Sauceda,San Diego De La Unión,,Filtro - Aguadapt,,,5,2,3,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Filtros cerámicos,2024,2
2024-02-14,,202311001,12-22-10-91,La Sauceda,San Diego De La Unión,,Filtro - Aguadapt,,,4,2,2,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Filtros cerámicos,2024,2
2024-02-14,,202311001,12-22-11-11,La Sauceda,San Diego De La Unión,,Filtro - Aguadapt,,,5,4,1,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Filtros cerámicos,2024,2
2024-03-15,,202403003,202403003-001,Santa Teresita,San Diego De La Unión,"21.3611378,-100.6142375","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/T2KhVCLsWv8QGiQv9,,7,3,4,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,3
2024-03-15,,202403003,202403003-002,Santa Teresita,San Diego De La Unión,"21.3653993,-100.6118199","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/KL6iqPRdhFJRS98U9,,8,5,3,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,3
2024-03-15,,202403003,202403003-003,Santa Teresita,San Diego De La Unión,"21.3589711,-100.6158346","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/JZt5aU41KKvGNGXh7,,5,3,2,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,3
2024-03-15,,202403003,202403003-004,Santa Teresita,San Diego De La Unión,"21.3601695,-100.6132181","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/QANbzJPLZoHU6xt57,,5,3,2,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,3
2024-03-15,,202403003,202403003-005,Santa Teresita,San Diego De La Unión,"21.3623015,-100.61162","SCALL - Ferrocemento (12,000)",https://photos.app.goo.gl/sZusDf1cLUNSn4io9,,6,4,2,,,CUVAPAS,,FGRA - Fundación Gonzalo Río Arronte,,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,3
